Keyword,Vol,CPC,Comp
bonnie aarons,201000,$0.00,0
the nun review,90500,$0.17,0
the nun full movie,74000,$0.37,0.09
the nun actress,0,$0.00,0
curse of the nun,0,$0.00,0
the nun release date dvd,0,$0.00,0
the nun 2019,0,$0.00,0
the nun trailer download,0,$0.00,0
