Keyword,Vol,CPC,Comp
google chrome,11100000,$0.09,0.09
google search,5000000,$0.53,0.02
google account,3350000,$0.32,0.07
google sign in,2240000,$0.30,0.04
google gravity,1830000,$0.48,0
google plus,1500000,$0.26,0.02
google subsidiaries,110000,$0.88,0
google foundation,4700,$3.77,0.02
